id,5662,   usa, f, , 19520101, mr, ethan, fry, sa, evandale, 3551, 88, grove place, bobblegigbie, 07 20984124, 1295928, 4, norole
5996,6895,   nor, f, , 19021012, , nicholas, wikborg, act, nicholls, 4670, 1, bywaters place, , 02 85313690, 1758201, 9, norole
5997,8927,   , m, 37, 19791130, mr, erin, mccarthy, , tingalpa, 2148, 12, , oakmont, 02 06222334, 5973219, 5, norole
5998,9860,   eng, f, , 19621122, , isabella, quickley, , tahmoor, 2230, 1, mcclure street, , 04 81334281, 7464640, 4, norole
5999,4521-dup-1, wel, f, 37, , , jarrod, roch, tas, wetah, 2583, 26, sid barn s crescent, ryhd-taog, 07 8  2 743, 5911 26, 8, norole
6000,5479,   chi, f, 23, 19930126, hon, joshua, sywe, , magill, 5253, 54, callaghan street, , 04 22205497, 3313121, 8, norole
6001,1336,   spa, f, , 19601009, ms, zach, valdivia, vic, tynong, 6162, 16, angas street, , 8 71728297, 3880192, 8, norole
6002,512-dup-1, ara, f, 30, 19860509, , amaya, ain, vik, ry, 2600, 28, lister cressent, , 08 17911601, 7932265, 5, norole
6003,9777,   eng, f, , 19060701, ms, jack, dukeson, vic, willung south, 3071, 21, lyne place, , 08 11348646, 5543638, 7, norole
6004,841,   spa, , , 19980516, ms, benjamin, manzanares, qld, kynuna, 4055, 407, castleton crescent, willandra, 03 21669914, 6652030, 1, norole
6005,7900,   ger, f, 27, , ms, ethan, ruff, , mount colah, 2600, , aitken circuit, , 03 39736024, 2292780, 0, norole
6006,7337,   unk, f, , 19520422, ms, edward, aballon, nsw, chittaway point, 3041, 4, springvale drive, , 08 25355295, 8921672, 0, norole
6007,4846, unk, , 30, 1986 3 7, ms, rachael, scorsone, vi , grayt ow n, 5086, 11, boote  reet, , 08 81795594, 46090 0, 2, norole
6008,4465,   ind, f, 21, 19951226, , isabella, mackherdhuj, vic, kongwak, 2233, 12, meacham place, anzac house (cnr archer s street, 08 15319597, 7887045, 2, norole
6009,693,   cze, f, 41, , , abbey, zempleni, vic, blackburn, 4032, 14, ind place, , , 2541450, 6, norole
6010,8656,   eng, f, 33, , ms, james, hooker, vic, carrajung, 4655, 36, khull crescent, , 618 20626080, 1916833, 9, norole
6011,8593,   usa, f, 26, , , francesco, lyons, vic, talgarno, 2650, 3, dickinson street, urambi vlge, 8 25656206, 6620870, 6, norole
6012,3819,   dut, f, , 19860920, mr, isabelle, harmanse, vic, highton, 6025, 10, spofforth street, the willows, , 7869199, 4, norole
6013,8404-dup-1, rus, m, 26, 19900624, pfc, ella, karenin, sa, st jo h   park, 470 2, 2  , mcgivern c  escent, the a tlas, 07 31044938, 9790304, 0, norole
6014,2798-dup-1, ind, f, 7, 20091218, , neme sia, swat i, nw, ulladulla, 2565, 70, , mason:c retir  ent village, 02566091 98, 6222883, 3, norole
6015,966,   usa, , 24, 19920211, , petreece, maynard, qld, carindale, 4575, 18, wilkins street, , 613 81031564, 5571822, 7, norole
6016,814,   eng, f, 8, 20080806, dr, rourke, hallman, vic, modewarre, 4212, 81, darwinia terrace, , 618 93342063, 4052917, 9, norole
6017,4916,   usa, f, 30, 19860901, dr, kiana, carroll, nt, alyangula, 7250, 10, vansittart crescent, , 3 22175036, 8927703, 9, norole
6018,9911, usa, f, 31, 19850205, col, sarah, savory, nsw, gunningbland, 4031, 173, sims place, , 07 92045155, 9157993, 7, norole
6019,6979,   usa, f, 28, 19880821, ms, caleb, shelton, vic, lake rowan, 2540, 83, lansell circuit, , 8 74474087, 6349722, 8, norole
6020,2217,   , f, 12, 20040106, , brooke, reid, wa, breera, 2566, 16, enid lorimer circuit, , 8 19432210, 8417634, 0, norole
6021,3803,   usa, f, 8, 20080501, ms, jade, dickson, wa, tarragindi, 2536, 12, bunny street, lochenfels, 08 41023335, 5033336, 4, norole
6022,3946,   ita, f, 26, 19900612, , , leptio, nsw, purfleet, 5114, 63, goble street, , 2 02924710, 8840719, 5, norole
6023,8322,   usa, f, 23, 19930626, pfc, andrew, sosa, vic, bossley park, 3690, 106, wilshire street, lakeside leisure park, 8 24981183, 7197705, 1, norole
6024,4283,   ara, , 21, 19950124, , channing, rahma, nsw, merrylands, 3142, 109, hadow place, , 612 29056228, 9514334, 1, norole
6025,8243,   unk, f, 36, 19800722, , lachlan, aakre, wa, popanyinning, 5098, 124, dash crescent, , 8 60598905, 5440615, 0, norole
6026,8671,   eng, f, 9, 20071123, , , hayward, nsw, bonshaw, 2146, 77, namatjira drive, gillin park, 2 38093401, 2264703, 2, norole
6027,8573,   swe, f, 33, , , sara, hjorth, nsw, collector, 4745, 2884, conder street, , 2 60153564, 7156895, 4, norole
6028,5522,   tha, f, 35, 19810708, ms, courtney, prachuab, vic, caulfield north, 2131, 17, de salis street, , 8 01138683, 5864118, 7, norole
6029,4886,   chi, f, 25, 19911128, hon, riley, hui, wa, dumbleyung, , 70, akma place, arcadia, 08 27743123, 9011157, 8, norole
6030,1854-dup-1, chi, f, 29, 19871028, , jasmyn, nyo , vic, chi|ders, 487, 23, vvinsercr scent, , 618 82514517, 7462002, 7, norole
6031,8618,   ind, , , 19230202, , stephen, cansai, vic, johnsonville, 3204, 16, heagney crescent, moonbi, 618 65735750, 4540324, 8, norole
6032,3598,   unk, m, 36, 19800106, , macey, stranger, nsw, camperdown, 7004, 10, , , 02 23117999, 4027524, 1, norole
6033,8135,   usa, m, 27, 19890109, ms, tanyshah, summers, qld, lefthand branch, 2540, 5, chisholm street, anana, 3 57386758, 9847195, 2, norole
6034,9582,   eng, f, 29, 19870208, , thomas, sackville, , st albans, 3018, , hooker street, , 08 63825502, 5490392, 9, norole
6035,7276,   abo, f, , , , felicity, goolagong, nsw, duri, 4019, 49, coppins crossing road, , 612 43376095, 1831151, 3, norole
6036,7632,   usa, f, , 19460504, , nathan, decker, wa, burrup, 6401, 21, , , 08 09203894, 4685887, 5, norole
6037,8332,   ind, f, 24, 19920401, , ryley, chellappa, vic, lillimur, 6151, 10, davidson street, , 02 09626351, 2440567, 8, norole
6038,4277,   ina, f, , 19120803, , kynan, tjandra, vic, isle of capri, 2643, 1, walker crescent, , 8 81302938, 1806363, 8, norole
6039,7351,   usa, f, 24, 19920425, ms, william, booker, vic, silvan, 4221, 45, tiptree crescent, , 8 56254852, 1295870, 8, norole
6040,3366,   ser, f, 23, 19930520, , stella, primorac, nsw, brisbane, 3429, 57, eagle circuit, matilda park, 03 17066388, 2359170, 9, norole
6041,3720,   unk, f, 33, 19830321, , blake, abbetmeyer, nsw, berridale, 5051, 14, canberra avenue, the spur, 02 59134699, 7098723, 1, norole
6042,7625,   eng, m, 35, 19810506, , thomas, adam, qld, southport, 3936, 34, casuarina street, midlands terrace, 613 19084452, 3204628, 0, norole
6043,6257,   ina, f, 37, 19790721, , william, iskandar, nsw, lake wyangan, 6210, 155, , , 612 69731803, 1142204, 5, norole
6044,8490,   unk, , 35, 19810715, , tahnee, scjum, nsw, kotara south, 2257, 7, bandt place, , , 9557943, 0, norole
6045,1944,   ita, f, 21, 19950604, , joshua, ambrogi, sa, mount hutton, 6528, 83, mcginness street, , 07 80396576, 3471460, 6, norole
6046,9560,   eng, f, 27, 19890131, , edward, simonson, vic, woori yallock, 2880, 16, paul coe crescent, north road, 8 15954921, 4474855, 6, norole
6047,7729,   unk, f, 32, 19840401, , thomas, scime, nsw, millers point, 3126, 100, kerferd street, , 612 28766730, 8113652, 9, norole
6048,7966,   usa, f, 9, 20070813, , alannah, jackson, sa, craigmore, 4124, 1, hanretty place, , 07 87730102, 1695789, 5, norole
6049,2063,   ina, f, 23, 19930902, ms, lachlan, tjandra, nsw, hollisdale, 3175, 23, goldsworthy place, bayway centre, 2 67210072, 9063392, 5, norole
6050,8928,   tha, , 32, 19840503, , miranda, prapass, vic, moutajup, 6383, 86, barr-smith avenue, , 08 20956623, 1049259, 5, norole
6051,8709,   unk, f, 32, 19841105, , michael, scottjackson, qld, jaffa, 5152, 8, narambi street, , 3 95681906, 1700813, 5, norole
6052,2084,   sri, m, 21, 19951128, , michael, vaas, vic, ovens, 4680, 32, woolnough street, , 8 42702450, 7817249, 2, norole
6053,3156,   ger, m, , 19680301, , jessica, schwaiger, qld, pechey, 5161, 66, clucas place, brentwood vlge, , 5718332, 0, norole
6054,2255,   chi, f, 31, 19850109, , karissa, chew, nsw, rozelle, 2209, 4, wark street, killarney, 612 93575870, 6802485, 1, norole
6055,3540,   usa, f, 33, 19831010, ms, sophie, whitaker, nsw, old bar, 3413, 230, macfarland crescent, , 02 39287534, 7146238, 2, norole
6056,6008, usa, f, 30, 19861103, ms, baydwd, pate, vic, craigieburn, 3959, 19, halifa close, , 8 64535891, 4565616, 1, norole
6057,4698,   unk, f, 11, 20051227, , joshua, strapp, qld, geebung, 2203, 64, chauvel street, glenview, 613 82678957, 7193932, 9, norole
6058,5295,   usa, , , , ms, james, bray, , bray park, 2015, 142, drake brockman drive, kyalla, 03 87747121, 1956740, 0, norole
6059,1136,   jap, f, 27, 19891110, , matthew, komine, qld, bonnyrigg, 3006, 24, lampard circuit, myliton, 613 71523292, 4474975, 3, norole
6060,2308,   usa, f, 31, , pfc, matthew, witt, wa, bandy creek, 2300, 9, mclarty court, kimberley land caravan park, 08 08078959, 6239360, 0, norole
6061,7204,   ind, f, 9, , , thomas, panu, nsw, wollongbar, 7321, 5, vasey crescent, , , 5051135, 2, norole
6062,7878,   usa, f, , 19160127, , joel, , vic, swifts creek, 4115, 6, moore street, , 618 86896923, 5053602, 3, norole
6063,4758,   usa, f, 13, 20030512, , brianna, meadows, wa, jurien bay, 3195, 32, jansz crescent, , 8 94615328, 5561124, 6, norole
6064,5286,   usa, f, 11, , , lauren, white, vic, cudgewa, 6062, 14, charlotte street, albion heights, 08 88498147, 4730065, 3, norole
6065,7652,   eng, , , 19780625, ms, casey, hope, nsw, rockdale, 7184, 8, lightfoot crescent, peroomba, 612 78901284, 4620989, 9, norole
6066,9511,   ind, m, 25, 19911014, , james, sony, nsw, camellia, 4121, 127, tazewell circuit, , 02 74930426, 9269065, 2, norole
6067,3011,   afr, f, 23, 19930518, , brianna, addo, vic, wurdiboluc, 4350, 82, faulkner place, , 03 38867584, 3780462, 7, norole
6068,7837,   chi, f, 14, 20020116, ms, alexandra, shanggwan, vic, kilsyth, 2519, 6, guthridge crescent, , 03 81070167, 8689481, 8, norole
6069,4468,   unk, m, 27, 19890517, , tayla, strahn, nsw, liverpool south, 4556, 149, magrath crescent, glenmore, 612 42298928, 4029049, 5, norole
6070,2799,   usa, , 35, 19810302, , alessandra, orr, , bundaberg east, 4270, 12, archdall street, , , 1944774, 6, norole
6071,709, unk, f, 26, 19900723, mr, istabela, streckfuss, wa, morar, 4350, 10, maaaata cirkuit, , , 7198871, 5, norole
6072,666,   unk, f, 24, 19920602, ms, tayla, scjum, qld, castle hill, 4207, 2, fitzalan street, crystal creek reserve, , 9082187, 5, norole
6073,2865,   chi, f, , 19980126, , william, lai, vic, weatherboard, 2794, 10, groom street, , 8 90803400, 5170435, 8, norole
6074,8750,   usa, f, 38, 19781029, , cooper, davidson, nsw, northbridge, 3260, 56, mackenzie street, nestor, 03 42494778, 1964005, 6, norole
6075,9595,   eng, f, 10, 20060712, dr, eleni, alfson, qld, redbank, , , crowder circuit, pebbly beach, 613 81211636, 2515634, 1, norole
6076,1752,   unk, f, 39, , ms, madison, scofield, nsw, wareemba, 2488, 33, dunstan street, jameson park upper swan, 02 20333205, 8528208, 4, norole
6077,6936,   unk, f, , 19220112, mr, larissa, stratou, nsw, , 3170, 9, gingana street, glenview, 2 29289166, 9921838, 3, norole
6078,6004,   iri, , 30, 19860620, ms, lachlan, heffernan, sa, , 3910, 5, crisp circuit, red tank, 7 38107815, 5844753, 5, norole
6079,1270,   usa, f, 25, 19910809, ms, daniel, blake, tas, battery point, 3152, 21, rossell place, , 7 40101537, 6138043, 1, norole
6080,740,   usa, f, , 19710909, ms, isabella, morse, nsw, robertson, 3939, 150, newman morris circuit, , 02 91063689, 6502192, 5, norole
6081,9359,   unk, f, 26, 19900824, , william, streich, nsw, silverdale, 2075, 23, jardine street, dalkeith cottage, 612 97966430, 5421215, 2, norole
6082,2164-dup-1, chi, y, 26, 19900505, , abbey, ngau, vic, avonsleigh, 2168, 36, gallowaistreet, , 618 38952951, 1092696, 1, norole
6083,1744,   unk, f, 35, 19810101, , lochlan, scinto, vic, gowanbrae, 6210, 59, mount vernon drive, emerald nook, 618 95350396, 9831239, 2, norole
6084,4122,   rus, , 24, 19920426, , connor, demochev, vic, woomelang, 6321, 5, morey place, , 618 86784699, 8161970, 9, norole
6085,1810,   ger, m, 29, 19870421, , shane, rucker, vic, bylands, 3182, 23, pearson street, carlyle gardens woongarra, 08 54434582, 3462396, 8, norole
6086,7130,   unk, f, 28, 19880409, , bella, straw, nsw, bundanoon, 2107, 24, ebden street, , 2 69638996, 3988122, 0, norole
6087,3396,   unk, f, 22, 19940714, , felicity, scottjackson, vic, durham ox, 2530, 67, groom street, , 08 86646696, 4910826, 9, norole
6088,7793,   ara, , , , , zac, maysun, nsw, indented head, 2211, 357, shackell place, shingledale, 612 53163524, 2497047, 5, norole
6089,6973,   eng, f, 26, 19900214, , flynn, christisen, vic, curdies river, 3171, 60, brigalow street, , 8 82436950, 8252837, 7, norole
6090,1050,   eng, f, , 19330420, ms, benjamin, simonson, sa, warradale, 4556, 9, warring place, , 617 62040037, 6010118, 9, norole
6091,9681, iri, , 30, 19860217, , emiili, cckafanak, a, acton park, 2583, 9, prisk place, , 618 00338761, 7127402, 1, norole
6092,1147-dup-1, ind, m, 3 , 19771007, , ju ia, nee ja, , ceduna, 2207, 9, dine5  i ace, , 07 50073981, 7104228, 5, norole
6093,6440,   eng, , 24, 19921014, ms, jake, jephson, qld, caloundra west, 7330, 48, woollum street, , 613 42168444, 8793608, 3, norole
6094,6760,   afg, , 24, 19920921, , nicholas, baha, vic, camberwell west, 2285, 18, port arthur street, brindabella specialist centre, 8 65530136, 6473928, 2, norole
6095,1195,   ind, f, , 19880214, , alexandra, suryadevara, nsw, oyster cove, 7277, 7, jabanungga avenue, ballandean lodge, 2 21298844, 2094772, 2, norole
6096,8703,   usa, f, 19, 19970109, , emiily, tyson, vic, blackburn south, , 440, starke street, , 08 81057454, 9955770, 0, norole
6097,6664,   usa, f, , 19180209, , zachary, pena, wa, karloo, 5052, 56, easterbrook place, rangeville, 08 07669636, 8658553, 2, norole
6098,6721,   usa, f, 27, 19891026, , oliver, klein, , box hill south, 2620, 27, conigrave place, dunfield park, , 9180866, 1, norole
6099,7639,   ser, f, 32, 19840624, ms, liam, krstulovic, sa, monash, 2603, , chaseling street, , 617 70203669, 8963373, 1, norole
6100,1539,   unk, m, 23, 19930205, , isabelle, strapp, nsw, stewarts brook, 5608, 34, krefft street, , 04 15471597, 1472874, 2, norole
6101,5410-dup-1, eng, f, 30, 19860923, , aityn, radtrai, , chinchilla, 5095, 3, toahrens strit, , 03 60433125, 5945383, 6, norole
6102,552,   usa, m, 27, 19890227, , , serrano, nsw, adamstown heights, 0830, 2, canopus crescent, kieta, 03 66287215, 4740571, 2, norole
6103,9371,   unk, , , 19080407, , sarah, sclafani, , numbaa, 4506, 136, undoolya street, , 03 60399781, 9654100, 5, norole
6104,8213,   sri, , 26, 19900315, , sam, wijesinghe, wa, leschenault, 2485, 1, barrett street, ryanfield, 07 21678483, 9652905, 6, norole
6105,605,   ind, m, 29, 19870306, , joel, perumal, nsw, north ryde, 6060, 26, lilley street, culgoa, 02 20090651, 9883288, 1, norole
6106,1319,   cze, f, 31, , , tuscany, telek, qld, garners beach, 2612, 95, evella court, mountainside, 613 65051229, 2442386, 1, norole
6107,3505,   chi, f, 30, 19860630, , amelia, tsen, wa, ruabon, 2749, 28, crawford crescent, , 618 09649697, 7677002, 7, norole
6108,6003,   unk, f, 32, , pfc, brooke, scinto, qld, hodgson, 2444, 37, macqueen place, , 03 57135258, 2791677, 9, norole
6109,853,   rom, f, 19, 19971025, dr, samuel, torok, qld, currumbin valley, 3550, 19, koolami street, pine hill, 3 84153067, 5607057, 0, norole
6110,9622,   por, f, 32, , mr, catherine, correja, vic, belmore river, 2580, 15, , rocklea, 08 63434585, 2476652, 8, norole
6111,5288,   ser, f, 21, 19950406, , chantelle, ondruska, nsw, numulgi, 2586, 261, babbage crescent, strauss, 04 12174608, 5885389, 9, norole
6112,7736,   dan, f, 29, 19870219, ms, tahlia, hedhoft, nsw, the ponds, 2546, 219, perry drive, , 612 17420591, 6685262, 2, norole
6113,3015,   chi, f, 32, 19840305, , eva, in, nsw, holsworthy, 7250, 12, ferber place, , 02 77551053, 2380293, 8, norole
6114,4133,   iri, f, 33, 19830115, pfc, joshua, obeirne, qld, pimlico, 5211, 76, malara street, , 03 38624071, 1209165, 3, norole
6115,8673,   usa, f, 32, 19841204, , emiily, chung, nsw, point piper, 4670, 36, severne crescent, sea breeze caravan park, 02 35316275, 6261235, 4, norole
6116,9743,   nor, , 30, 19861205, , caleb, hartmark, qld, south gladstone, 4151, 6, ashby circuit, , 613 21727560, 7367848, 8, norole
6117,9701,   usa, , 19, 19970327, , claudia, wallace, nsw, berrilee, 2218, 80, landale place, , 03 49080704, 3408790, 0, norole
6118,543,   chi, f, 32, 19841219, ms, lucy, chuko, qld, ballarat, 3195, 5, bavin street, , 613 27998416, 8045005, 6, norole
6119,5846,   chi, , 29, 19870716, ms, , pung, sa, dilston, 3147, 5, , , 617 75504561, 1542091, 5, norole
6120,2705,   chi, f, 26, 19901122, mr, edward, miau, , edithvale, 6429, 30, pennington crescent, , 04 35473147, 7066833, 8, norole
6121,4055,   usa, f, 23, 19930822, , robbie, hayden, , banyo, 2795, 619, gurrang avenue, , 03 77003776, 6108675, 5, norole
6122,9524,   ind, , 29, 19870819, mr, miranda, lakhwani, , woodville north, 7213, 3, carr crescent, morton park, , 7385499, 3, norole
6123,1162,   ger, , , , , jesse, norling, nsw, south turramurra, 2760, 1789, la perouse street, south gwandalan, 612 34128131, 8376909, 4, norole
6124,7617,   unk, , 11, 20050103, mr, lucy, streich, qld, rosewood, 3550, 2, mckeahnie street, , 3 43100815, 5108597, 0, norole
6125,2166-dup-1, usa, m, 32, 19841230, ms, jam s, terr ll, sa, mount o mo nd, 25 2 9, 5, wade s treet, , 08 7799 457, 15488 1, 8, norole
6126,8350,   tha, , , 19071115, , samantha, , tas, spearwood, 3152, 117, pinkerton circuit, , 07 69986977, 9816180, 8, norole
6127,7954,   eng, f, 36, , mr, joshua, earls, , blacktown, 6168, 41, , mt pleasant, 07 78532582, 2923414, 4, norole
6128,7637,   chi, f, 25, 19911007, , amber, , wa, yilkari, 7030, 24, hawker street, ponderosa, 618 39194086, 3499564, 4, norole
6129,7708,   jap, , 11, 20051014, hon, jacob, kitao, nsw, pennant hills, 2830, 37, tange place, , 612 70615820, 6580514, 9, norole
6130,52,   ind, m, 20, 19960620, mr, ty, mahal, nsw, caroona, 4069, 7, gamor street, , 2 88607596, 5643961, 4, norole
6131,7909,   eng, f, 34, 19820925, , georgia, jepson, vic, newhaven, 7320, 11, maria place, rockwood, 618 00642068, 9254350, 0, norole
6132,4038,   chi, , 26, 19900328, mr, tara, sima, vic, lake cargelligo, 4051, 7, gymkhana road, , 08 61017599, 7165361, 0, norole
6133,5970,   usa, m, 22, 19940817, dr, zane, , vic, st kilda west, 6024, 4, mcgivern crescent, frost mews, 8 07637128, 3754637, 5, norole
6134,5864,   usa, , 31, , hon, dylan, randolph, sa, alford, 2156, 11, watling place, , 7 52220495, 5351935, 5, norole
6135,3585,   usa, , 36, 19800927, , kyle, lott, sa, corny point, 3113, 155, mcintosh street, , 7 25327737, 9758057, 0, norole
6136,5159,   unk, f, 28, 19880311, , matilda, strehovski, nsw, barry, 4051, 14, jim pike avenue, , 612 34808330, 2122204, 0, norole
6137,9826,   chi, , 23, 19930130, , eboni, juan, wa, milo, 2343, 18, benny place, , 618 82204181, 9123102, 7, norole
6138,4315,   iri, f, , 19000723, , thomas, ohanigan, nsw, twelve mile, 2261, 48, la perouse street, killarney, 04 65404509, 3362664, 4, norole
6139,8809,   unk, f, 29, 19870826, , ella, scinto, vic, charlton, 5290, , kelleway avenue, , 8 42496810, 6182138, 9, norole
6140,2775,   unk, , 36, 19800708, , adam, aarts, nsw, henty, 5343, 1, marlock street, the cabin, 2 43252358, 4498289, 0, norole
6141,451-dup-2, usa, , , 19141001, mr, oaccklie, planecsard, fic, klarkes hill, 2193, 33, lipscomb place, paradome, 08 23151711, 4610187, 1, norole
6142,2242,   usa, f, 32, 19840326, mr, gracie, olsen, vic, hawks nest, 3103, 2, southern cross drive, violet creek, 618 11235424, 1659574, 6, norole
6143,8747,   fre, f, 22, 19940326, , giuliana, paulot, nsw, medlow bath, 3083, 16, shackell place, , 2 31020423, 3536675, 5, norole
6144,4426,   eng, , 33, 19830603, , madison, derrickson, vic, corio, 3074, 68, michaelis court, , 618 14025386, 3939380, 1, norole
6145,8925,   pol, f, 28, 19881209, ms, amy, balcerzak, , pennant hills, 2030, 29, greaves place, , 08 92893726, 2276250, 1, norole
6146,6192,   usa, m, 21, 19950317, , kimberly, russell, qld, dayboro, 2163, 631, pomeroy street, , 613 38282803, 2314163, 7, norole
6147,601,   eng, f, 34, 19820715, ms, caitlin, sanderson, nsw, kelvin, 4820, 48, carnegie crescent, argyle, 2 94107403, 8640146, 6, norole
6148,6114,   chi, f, 11, 20051124, mr, kallie, seeto, qld, silkstone, 2233, 177, , , 03 25409221, 8302532, 7, norole
6149,5242,   jew, , 24, 19921229, , jennifer, tzon, nsw, walgett, 2880, 3, murrell place, , 612 92654296, 9957712, 8, norole
6150,47,   eng, f, 25, 19910430, sgt, jasmine, carlisle, nsw, neville, 6107, 4, grounds crescent, , 02 76033843, 7240968, 4, norole
6151,1280,   usa, f, 20, 19961023, ms, jordan, noel, qld, lower tenthill, 4171, 26, munga place, , 07 37426504, 7524554, 4, norole
6152,2653,   ita, f, 11, 20050223, , schkirra, pirelli, vic, yuroke, 3350, 28, bonython street, , 08 66966024, 6077182, 2, norole
6153,4815,   vie, f, 28, 19880711, , lucas, hodac, wa, cullalla, 3181, 43, sullivan crescent, maclee, 618 72193585, 4240572, 1, norole
6154,2140,   usa, , 25, 19911002, , callum, terry, qld, mount gravatt east, 3280, 9, mataranka street, middle rock park, 07 65432882, 5651976, 4, norole
6155,8824,   vie, f, 26, 19900409, ms, georgia, trannhu, sa, corio, 7051, 43, wattle street, st clair park, 617 67258075, 2079294, 4, norole
6156,9554,   , f, 9, 20071027, , thomas, meares, , kellyville, 3031, 128, paterick place, , 03 79052604, 7939784, 2, norole
6157,7009,   usa, , 9, 20071001, , timothy, beck, nsw, glenmore park, 2906, 90, kirkcaldie circuit, , 02 56787840, 8177433, 2, norole
6158,4068,   eng, f, 19, 19970602, ms, liam, rennold, qld, kaban, 3128, 73, kent street, , 03 33678969, 5459274, 0, norole
6159,1071,   eng, f, , 19040508, mr, pace, newell, qld, bamboo creek, 4214, 125, glasgow street, , 3 30561638, 8198696, 2, norole
6160,9840,   eng, , 25, 19910323, , kydan, herberts, nsw, wellard, 4811, 158, burnie street, , 2 49606871, 2670599, 1, norole
6161,686,   ser, f, 21, 19950316, mr, jason, kreso, nsw, rossmore, 3757, 1, daley crescent, medical centre, 2 96478658, 5760552, 5, norole
6162,2753,   eng, m, 23, 19930411, ms, emiily, clemens, nsw, jerrabomberra, 3107, 4, bussell crescent, , 2 93793865, 3310341, 0, norole
6163,5574,   usa, f, 35, 19810102, , imogen, stanton, nsw, clackline, 3802, 2, campaspe circuit, , 02 14043019, 6879757, 5, norole
6164,1896,   unk, , 27, 19890508, , cain, aaternir, wa, spearwood, 4564, 70, perry drive, , 618 43893944, 7817842, 3, norole
6165,3363,   , f, 32, , hon, yasmin, reid, qld, mulgildie, 7250, 25, carrington street, , 3 73109901, 4034953, 2, norole
6166,2299,   eng, f, 29, , , jack, goffe, nsw, dungay, 4122, 66, minchin place, , 2 83622101, 9054334, 3, norole
6167,1770,   eng, , 26, 19900409, , caitlin, cristianson, , nedlands, 4655, 111, temperley street, rowethorpe, 03 08641754, 8088074, 5, norole
6168,4664,   unk, f, 22, 19940524, ms, jade, strangway, wa, lismore, 6060, 51, heard street, kiandra, 08 49589550, 1132607, 7, norole
6169,2970,   usa, m, 30, 19861019, ms, ethan, mosley, sa, cobdogla, 5073, 11, hagen place, , 07 63790012, 7800114, 3, norole
6170,487,   ser, f, 38, 19780319, ms, cameron, dracul, nsw, rathmines, 5290, 120, gosse street, , 612 98075247, 2281111, 4, norole
6171,8601,   fin, , , 19271027, mr, cameron, kuetari, , christie downs, 4565, 7, galmarra street, withern house, 08 37795159, 7655399, 9, norole
6172,4391,   unk, , 12, , , lee, abbetmeyer, vic, lake mundi, 3000, 105, watling place, , 08 62971265, 1284237, 9, norole
6173,6355,   unk, f, 26, , , bailey, scopel, vic, nerrin nerrin, 6081, 37, longworth place, , 618 54148293, 5855931, 4, norole
6174,5953,   usa, f, 30, 19861106, ms, george, alston, vic, colac colac, 4064, 51, templeton street, , 618 17274834, 6314903, 1, norole
6175,6222,   eng, f, 34, 19820202, , aurora, addison, nsw, carrathool, 3442, 196, bellinger circuit, , 612 13514314, 7771714, 4, norole
6176,1171,   chi, f, 29, 19870308, dr, emma, chen, vic, moondarra, 2765, 6, james street, cape clear, 8 27847156, 2769352, 7, norole
6177,6756, unk, f, 35, 19811221, , zac, strampher, vic, wardik, 2151, 10, namatjiteqrive, , 8 26878972, 8590885, 4, norole
6178,7532,   usa, , 25, 19910725, , christina, chang, nsw, loftus, 2165, 41, narryer close, moriah, 02 22117349, 3207149, 5, norole
6179,7586,   sri, f, 29, 19871218, mr, taylah, samataweera, vic, waubra, 6107, 246, frome street, locn 8774, 08 06157636, 9651466, 0, norole
6180,9329,   eng, , 10, 20060903, , mitchell, hawk, tas, koonya, 4714, 157, , , 02 50222583, 9246334, 0, norole
6181,6826,   dan, m, 30, 19860120, ms, isabella, ronholt, qld, lockyer waters, 4500, 73, devonport street, , 613 97476654, 5346101, 8, norole
6182,4325,   chi, f, 20, 19960212, , molly, qu, vic, weering, 3186, 6, ryrie street, banksia village, 618 15443427, 2214280, 3, norole
6183,366,   eng, f, 26, , , thomas, paulson, , ingham, 6163, 136, woodfull loop, , 02 01750530, 3207944, 2, norole
6184,3387,   dut, , 31, 19851203, , seth, delsemme, nsw, lockhart, 6151, 20, mackennal street, , 2 70729357, 9285440, 7, norole
6185,2466,   cze, f, , 19121126, , finlay, , nsw, parkville, 4650, 1, annear place, umavale, 07 09388915, 7600633, 4, norole
6186,7887,   eng, f, 28, , mr, montanna, taggart, qld, corella, 2315, 26, maddock place, , 613 12979895, 7753406, 5, norole
6187,4189-dup-1, ind, f, 2 , 1990 1 1s, , lachlan, vishw a, wa, bedford le, 4215, 3, durville crescent, caravn park, 61853500477, 5192582, 9, norole
6188,6736,   eng, f, 22, 19940504, , cooper, ellisson, wa, alma, 3150, 10, aurora close, poplars, 8 12788792, 3947934, 8, norole
6189,2036,   usa, f, 8, , , jesse, soto, nsw, clemton park, 2298, 192, quinlivan crescent, , 612 10064123, 4175740, 7, norole
6190,3076,   , , 22, 19940704, , brandon, mcdermid, sa, springton, 3130, 2, rawson street, , 617 81593546, 6121760, 0, norole
6191,3561,   chi, f, 31, 19850505, , emma, chyau, qld, jarvisfield, 5255, 7, trott place, jarkhellms, 3 54588584, 2363973, 9, norole
6192,6665-dup-2, unk, m, , 19350911, , sar a, aater ir, ql , leafdale, 3170, , c0ckcroft avenue, glenhu rst, , 7393690, 4, norole
6193,6831,   unk, , 30, 19861129, , lachlan, abadi, sa, orbost, 2770, 8, wagga street, , 617 35757155, 2530874, 2, norole
